id,session_id,user_id,type,value,created_at
4f519fbf-0cb1-4780-b3cb-fafff4cd5a72,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,cell-click,A1,2025-10-05 12:35:27.186855+00
fb7512c2-d4f9-4450-8573-b70592ae3ceb,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,cell-click,A1,2025-10-05 12:35:36.947058+00
44819031-1c42-4900-8eac-ad2460dfda8e,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,cell-click,A1,2025-10-05 12:35:47.837165+00
26bdf767-a05d-49d8-afba-d74116b0fbac,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,A1,2025-10-05 12:35:47.841839+00
1bcf1f5e-9e48-41ee-8329-28f83245d4e4,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,cell-click,A1,2025-10-05 12:35:48.787582+00
895d23a0-9f39-499d-abd0-ae6e642566c7,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,A1A1,2025-10-05 12:35:48.792123+00
63292a0e-6958-4074-9c9c-7251d736adf5,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,A1A1A1,2025-10-05 12:35:48.792353+00
f99199d8-d552-4495-9e50-c0cc4602a260,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,cell-click,A1,2025-10-05 12:35:48.823227+00
450e01bf-323b-4da2-87f7-9f796d5ac508,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,f,2025-10-05 12:35:50.434592+00
cfa989c6-4a7d-4dd5-b04c-9b0f45e474ae,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,fi,2025-10-05 12:35:50.663614+00
dd8f943d-4e76-444b-bf53-0ef01161af81,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,fin,2025-10-05 12:35:50.665298+00
7ff3cd55-9062-4448-85c6-0a85b5860062,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,fini,2025-10-05 12:35:50.789923+00
df1ef22a-dddf-4e79-a923-e8af7e00ade0,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,finis,2025-10-05 12:35:50.98886+00
74e2861e-6976-4216-be2d-ea8615150a39,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,finish,2025-10-05 12:35:50.99327+00
fa2bffed-9043-49af-91d4-8a67a11e2b5e,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,finishA2,2025-10-05 12:35:52.313955+00
7e7caa29-7ad5-4e0c-bbc5-5f2147d314c7,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,cell-click,A2,2025-10-05 12:35:52.314676+00
46a7f618-e79f-4f42-8580-f628f3bc36ce,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,finishA2A2,2025-10-05 12:35:52.860496+00
d2e53ccd-42a2-41ee-907b-d83cae08495c,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,cell-click,A2,2025-10-05 12:35:52.863076+00
548b49d6-6513-48aa-b410-dd1b40875e73,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,finish,2025-10-05 12:35:54.517172+00
5e1767c4-85ec-4d51-8356-364a3fec6d9b,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,,2025-10-05 12:35:55.079933+00
d9c1f3f1-7a4e-47c0-84ab-a37c1fd7c4e9,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,cell-click,A2,2025-10-05 12:35:55.566049+00
0d232f94-0394-4212-a815-c61debf08845,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,1,2025-10-05 12:35:56.484706+00
1aa4f9ff-6831-4ece-beb7-1c4826c934c4,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,10,2025-10-05 12:35:56.727451+00
10110fd9-37b7-4fbe-a960-a141558d21ec,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,100,2025-10-05 12:35:56.892986+00
4c051e1d-65f6-4ae0-b92c-182e11dbc7cb,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,,2025-10-05 12:35:57.593299+00
f441a7a6-0008-4899-87c1-47aa2ba8f642,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,cell-click,B1,2025-10-05 12:35:58.513515+00
a019e523-5bf6-43d7-9bba-5bd45410db09,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,r,2025-10-05 12:36:04.200608+00
45d31e41-2796-486e-b67b-c5a91b4d5f1e,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,ru,2025-10-05 12:36:04.329624+00
839d7d25-c5a1-47fe-bf9d-9cad9d1bd6cc,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,run,2025-10-05 12:36:04.41241+00
15f8c171-7e33-465c-8e46-7e8a467452fb,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,runn,2025-10-05 12:36:04.593066+00
e67d3e26-a68e-40ea-8d70-8eb79b8e72fe,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,runne,2025-10-05 12:36:04.884518+00
581600f7-6149-4e4c-b1d9-43bb13a50f65,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,runner,2025-10-05 12:36:04.991158+00
a1775db7-8968-487c-bfd0-5280e027ceb7,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,runner1,2025-10-05 12:36:05.345932+00
6432525f-8fa0-4cc2-9690-3f4dc6ff5b06,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,,2025-10-05 12:36:05.997401+00
1092329d-068f-482d-a245-92599dfc6fc5,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,r,2025-10-05 12:36:07.638671+00
78f9e58b-e0a3-4e1c-b989-0947b0b727be,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,ru,2025-10-05 12:36:07.770091+00
d511d979-b36f-44d2-9bf5-436fcebe92ae,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,run,2025-10-05 12:36:07.912613+00
ace3c18c-fbae-4c86-92fe-b080d17f9697,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,runne,2025-10-05 12:36:08.118147+00
5e064561-e3a3-427f-aa6c-8cbbf3b349a0,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,runn,2025-10-05 12:36:08.119412+00
079d7bdf-4870-4aea-9c7c-5e9a6389f8a2,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,runner,2025-10-05 12:36:08.214803+00
4f8ed4ae-402c-4606-9b8b-bc4ae981b827,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,runner2,2025-10-05 12:36:08.619533+00
8c96ce62-5992-498f-9a4a-15d197c12282,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,,2025-10-05 12:36:09.021288+00
fdacf5d7-4678-485e-8a5d-e6641e749c73,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,r,2025-10-05 12:36:10.342861+00
9b0f9461-73be-40d7-bea9-ee6ff5fdda85,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,ru,2025-10-05 12:36:10.571858+00
73546c87-4b9a-4178-a76f-a750a182895e,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,run,2025-10-05 12:36:10.693911+00
76d6d777-44bd-481e-a4d9-466eec2a1379,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,runn,2025-10-05 12:36:10.837395+00
8700fd77-60c9-4b20-bebf-59f8cce9a805,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,runner,2025-10-05 12:36:11.051228+00
ec65beb2-4c8a-48d3-844e-613c6a1eb3e6,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,runne,2025-10-05 12:36:11.054947+00
a6a17baa-8d47-4447-9b18-0ced9896b228,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,runner3,2025-10-05 12:36:11.48694+00
5f19a6d8-36f7-474c-b524-a53d184c21b9,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,,2025-10-05 12:36:12.084385+00
b2f4ff7a-2b47-4c2f-ae57-ec90cfd82fcf,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,= 100,2025-10-05 12:36:12.924977+00
f7c70734-687b-4290-a30c-8ff178cae569,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,,2025-10-05 12:36:13.38002+00
4d93b2ef-7f55-4eef-830a-bc540e89d42a,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,=,2025-10-05 12:36:14.098283+00
1e78b7ec-b2f1-47ea-9472-67774b3268c1,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,=0,2025-10-05 12:36:15.446605+00
44d938cc-873c-4adf-9d55-9d38a3f56ce6,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,=0+,2025-10-05 12:36:17.203762+00
e425e3dc-a0b1-4f4e-9085-87866641233e,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,=0,2025-10-05 12:36:17.809288+00
636c1d9d-249e-48b7-b157-7e7470b77de2,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,=0=,2025-10-05 12:36:18.06792+00
f6503934-68a9-4e6a-9432-679260ca1e07,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,=0=B,2025-10-05 12:36:21.158012+00
23347fad-cc16-452f-9c23-4715e50dd601,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,=0=B2,2025-10-05 12:36:21.633648+00
ce676a20-8fc3-47fb-8727-d8291181af20,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,=0=B2+,2025-10-05 12:36:22.270655+00
871e4632-3634-4b9b-b1de-0c79c357b609,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,=0=B2+5,2025-10-05 12:36:23.797916+00
4505ac42-3304-4ef2-b566-1399a74e6aa1,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,C2,2025-10-05 12:36:25.940596+00
dfacd732-18c3-4dcf-9ae9-f163e6a4bd66,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,cell-click,C2,2025-10-05 12:36:25.940596+00
e4b65627-30f3-455d-8cc3-fbccb643fdc2,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,C2=0=B2+5,2025-10-05 12:36:26.388261+00
267cbb08-7cbd-48c4-b9a2-e8da6c6e220d,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,C2,2025-10-05 12:36:27.455877+00
9625f866-7bbb-4605-98e5-28b1ed0284f8,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,cell-click,B2,2025-10-05 12:36:28.436291+00
c7f293f0-f7c3-4c1f-b4e5-d6bfe4213bf0,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,C2B2,2025-10-05 12:36:28.450954+00
35c64742-78d9-416b-b0e6-bccca7d53754,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,formula-input,C2B2B2,2025-10-05 12:36:29.033943+00
3a7e33ba-ae39-4d85-9fb1-6fd9c72d02e1,5edc5a63-ed4d-43da-aad4-9c9d122123a4,689acb80-cfb2-4cea-b28d-03c7718061a0,cell-click,B2,2025-10-05 12:36:29.034285+00
